Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2016-02-16,160.84585571289062,160.87128083333212,159.02365310839127,159.98984648240122,120250700
2016-02-17,163.47320556640625,163.84612451981164,161.88830001443336,162.01543852986296,136009500
2016-02-18,162.80361938476562,163.8037212449003,162.4900343705473,163.74438735982798,102343000
2016-02-19,162.72732543945312,162.87987609949778,161.41363871530967,162.0238672203001,114793000
2016-02-22,165.0835418701172,165.22762185788187,164.24447413058206,164.31227875995557,103640300
2016-02-23,162.99859619140625,164.69367304231983,162.87992839672864,164.42245453861685,111455300
2016-02-24,163.744384765625,164.02407393566187,160.45594520083077,161.56621822186952,150812200
2016-02-25,165.7276611328125,165.73614479396866,163.43083919888306,164.19361862314082,110728300
2016-02-26,165.3462371826172,166.69381992155488,165.1852028429188,166.60060312742172,129833700
2016-02-29,164.04954528808594,166.3124714663264,163.85461505974905,165.36323251190936,125918100
2016-03-01,167.90582275390625,167.9905817617275,164.8038292943359,165.27844870035366,141799700
2016-03-02,168.66012573242188,168.71097596245232,167.17693367196088,167.59223210455698,102415000
2016-03-03,169.3212127685547,169.3381671568535,167.90582525721794,168.4821451352865,95172200
2016-03-04,169.87208557128906,170.6518321433285,168.68553719193758,169.51612105748362,129293600
2016-03-07,170.0077667236328,170.41459456788377,168.8720680896945,168.94834346083672,100219000
2016-03-08,168.15158081054688,169.43984255004293,167.99055940896613,168.93132736800484,123974900
2016-03-09,168.98223876953125,169.32971974337983,168.1770668080957,168.96528437760318,94801200
2016-03-10,169.11778259277344,170.41452805815925,167.28710973777427,169.47376005066465,156838700
2016-03-11,171.84686279296875,171.88924229487964,169.10084694989558,170.5755553300917,137964500
2016-03-14,171.62649536132812,172.0841603253658,171.0077960608527,171.33833546054862,73612000
2016-03-15,171.3468475341797,171.65196189463276,170.3976086049525,170.66034345626284,93169100
2016-03-16,172.3384552001953,172.74528294364353,170.82136715403325,170.863746660527,129303200
2016-03-17,173.43174743652344,173.94026260127865,171.8553258542095,172.25366984609144,134278500
2016-03-18,174.11326599121094,174.45402458808726,173.6191569263652,173.93435927843117,138372400
2016-03-21,174.36041259765625,174.59043193009674,173.61925508093245,173.84927441337294,72926700
2016-03-22,174.2666473388672,174.83742528186085,173.42326504955457,173.585116974404,97471900
2016-03-23,173.11660766601562,174.07074254561834,172.94621529541845,173.8833213372517,81052500
2016-03-24,173.03988647460938,173.0739701406084,171.8642599798402,172.08575181239442,84360900
2016-03-28,173.14212036132812,173.6703001797799,172.6906092908885,173.45732276922877,62408200
2016-03-29,174.74374389648438,174.85449633646226,172.42654806953865,172.73323613484362,92922900
2016-03-30,175.51043701171875,176.2345524447843,175.14410908748897,175.7489706836827,86365300
2016-03-31,175.08447265625,175.84267171503555,174.92260774497396,175.4167168955131,94584100
2016-04-01,176.2771453857422,176.46456655097563,173.77252890408602,174.0877443178567,114423500
2016-04-04,175.70635986328125,176.40493199418893,175.39967187882826,176.2004690048505,63497000
2016-04-05,173.95143127441406,175.71487746767957,173.69585578288167,174.3603442614002,99662200
2016-04-06,175.85121154785156,175.91085147077712,173.7725496482917,173.95145641795702,91839800
2016-04-07,173.7469940185547,175.1185692605372,173.01435110049363,174.76076871903456,113859000
2016-04-08,174.21556091308594,175.36564438770728,173.678853558381,174.93116205328425,95040600
2016-04-11,173.80661010742188,175.5530274864749,173.71289952613287,174.85445533520982,83757500
2016-04-12,175.42527770996094,175.70640952509464,173.5340367711436,173.97703354036454,115350600
2016-04-13,177.19728088378906,177.28247708386,176.20906215907263,176.34537087954007,96336400
2016-04-14,177.2057342529297,177.70837086159483,176.85646115084722,177.25685975482745,65212900
2016-04-15,177.00975036621094,177.34199454279297,176.6860206047336,177.20568590647545,75761600
2016-04-18,178.2535858154297,178.28765648296246,176.34530345584142,177.00979196516653,82531000
2016-04-19,178.81585693359375,179.07143246643165,177.99803082744637,178.67956124864358,88316100
2016-04-20,178.98622131347656,179.68478046166612,178.3813597469344,178.8584270674755,81100300
2016-04-21,178.0235595703125,179.11400287607398,177.75094224431734,179.00325046249975,85695000
2016-04-22,178.0235595703125,178.29616389719808,177.1205374263953,177.66575907927603,99251700
2016-04-25,177.71688842773438,177.7594865138486,176.8053387815109,177.41871482404557,66166500
2016-04-26,177.98098754882812,178.49213861035878,177.50392015759232,178.08321256148966,75864200
2016-04-27,178.34735107421875,178.7392223669733,177.239865552796,177.59766616757307,77329400
2016-04-28,176.7286376953125,178.69654672213994,176.31121032544513,177.58907468043523,97216200
2016-04-29,175.77455139160156,176.4560818345169,174.66706604675312,176.10679569514488,142424100
2016-05-02,177.1716766357422,177.35057040867574,175.84269946893238,176.27716877373973,62188000
2016-05-03,175.62969970703125,176.1749213728247,174.88001504189907,175.93638770648442,106422100
2016-05-04,174.65003967285156,175.36565385077824,174.14741596385966,174.6330108346273,92243800
2016-05-05,174.6159210205078,175.47634508249976,174.18996619789823,175.11854459140085,67619200
2016-05-06,175.2549285888672,175.2975266892611,173.68741728764545,173.84075485012545,89315000
2016-05-09,175.3997039794922,175.83417328735254,174.94819283629073,175.12709960959302,74374900
2016-05-10,177.58055114746094,177.59759297898373,176.03859687192096,176.1067511989034,77472200
2016-05-11,175.9193878173828,177.6572782292378,175.9193878173828,177.12058385156465,81727000
2016-05-12,175.97048950195312,176.76277239032126,174.9567147411194,176.59238002784232,89586300
2016-05-13,174.43702697753906,176.22604256241553,174.1133101281779,175.672306452345,96474600
2016-05-16,176.1579132080078,176.63498063186802,174.54780415292345,174.60744408046216,77486800
2016-05-17,174.51370239257812,176.17492366156853,173.98550955386858,175.88527749140815,114924900
2016-05-18,174.56483459472656,175.7489886584826,173.47439112590567,174.16443596174108,120062100
2016-05-19,173.95993041992188,174.24957655198068,172.7502203985806,173.84066360089128,115430500
2016-05-20,175.05892944335938,175.57859488183973,174.52222217107837,174.5733346733698,104990400
2016-05-23,174.82040405273438,175.35709835134318,174.63298286937538,175.07596657630472,58682600
2016-05-24,177.08648681640625,177.40170228331561,175.61268649508247,175.6382427492762,93537800
2016-05-25,178.28768920898438,178.7051297077683,177.08649322198136,177.76802368972784,76621400
2016-05-26,178.33877563476562,178.65399106697245,178.0235732016694,178.42397180544003,55280700
2016-05-27,179.10543823242188,179.11395264680542,178.44946434992292,178.50057683443603,64211200
2016-05-31,178.7647247314453,179.48885316151993,178.20246122097163,179.37810074303295,109879400
2016-06-01,179.1310272216797,179.30992095017925,177.95538786653503,178.15132342602303,69936200
2016-06-02,179.67630004882812,179.69332888556335,178.25361223471606,178.73067964554264,63044700
2016-06-03,179.13963317871094,179.48891939736498,177.9299225425306,179.11407691872307,101757100
2016-06-06,180.0511016845703,180.40890216169484,179.33548773121223,179.49735263733956,64887000
2016-06-07,180.33229064941406,180.89455433206396,180.17895309911725,180.20450935750006,60974800
2016-06-08,180.9200439453125,181.04783818926535,180.34075163654285,180.46853288138635,66170900
2016-06-09,180.67303466796875,180.7923015218025,179.91483545450157,180.18743983507352,73786900
2016-06-10,178.96066284179688,179.6336657322509,178.4154281975382,179.29290707869862,113829200
2016-06-13,177.58055114746094,179.21621599771316,177.49536798806443,178.35579199288878,117751200
2016-06-14,177.23129272460938,177.82763992889195,176.27715799633438,177.1972220553613,125059300
2016-06-15,176.98428344726562,178.35585891957723,176.79686222751272,177.23133160105976,109124500
2016-06-16,177.5124053955078,177.68279772074933,175.14409766467531,176.98422558476526,149533100
2016-06-17,176.85134887695312,177.43365383264984,176.1919633868866,177.40796467676395,117055700
2016-06-20,177.9902801513672,179.49743389751904,177.904640921832,178.8209310243536,82789600
2016-06-21,178.4955291748047,178.90656875638794,177.93034158343227,178.37564208572988,72461700
2016-06-22,178.20433044433594,179.40320102401796,178.05874116914447,178.6753069148979,95560500
2016-06-23,180.52503967285156,180.57641798398882,179.20628177571822,179.66869964266547,102731400
2016-06-24,174.04258728027344,180.55933673723305,173.5972867167535,174.37655943623474,333444400
2016-06-27,170.92547607421875,172.63815614283132,170.11194258825824,172.62958437979262,230775800
2016-06-28,174.0082550048828,174.0339441550606,172.22706654787228,172.53534941671467,159382400
2016-06-29,176.97122192382812,177.20242430846392,175.30992028583816,175.41267690123186,137328600
2016-06-30,179.3860626220703,179.43744092082238,176.88555190470308,177.44218063017078,165021900
2016-07-01,179.762939453125,180.25105965608398,179.2234409270577,179.38614766137735,106055300
2016-07-05,178.4698028564453,179.04354902517392,177.87036753588632,178.93222065610226,109803700
2016-07-06,179.540283203125,179.6601703042731,177.31379353413044,177.97317912380188,96021500
2016-07-07,179.42893981933594,180.3880365484466,178.65823895725956,179.72009231685695,85593800
2016-07-08,182.10072326660156,182.34906922145487,180.4993714061796,180.73058689976736,133971000
2016-07-11,182.74293518066406,183.31669443041378,182.3575848268866,182.56311111336606,73633900
2016-07-12,184.07029724121094,184.37002149534,182.76865666334592,183.7106359762836,101275600
2016-07-13,184.04458618164062,184.4984453238494,183.55647918972468,184.48988662810038,87324100
2016-07-14,185.07220458984375,185.5431942234719,184.6782954902362,185.31197875483406,91230900
2016-07-15,184.82382202148438,185.83429672122497,184.37852166338604,185.6373422243907,107155400
2016-07-18,185.3206024169922,185.48330916024,184.68690590821544,184.94381060456902,58725900
2016-07-19,185.13214111328125,185.16638896289643,184.6525928184022,184.90092566156775,54345700
2016-07-20,185.90284729003906,186.14262144447778,185.13214651744477,185.13214651744477,58159500
2016-07-21,185.2006378173828,186.0141581265486,184.75533740112073,185.79151445177266,67777300
2016-07-22,186.0312957763672,186.08267408278581,185.05506875428105,185.32053204858445,62787500
2016-07-25,185.5260772705078,185.87717984720135,184.94377227505672,185.82580153192188,55873100
2016-07-26,185.61167907714844,185.97134027828923,184.76389784585993,185.42328324797322,70080500
2016-07-27,185.4147186279297,186.05697355231052,184.64400487864677,185.9884647923714,84083900
2016-07-28,185.62881469726562,185.91996714437596,184.7553442892239,185.21776211306323,65035700
2016-07-29,185.92857360839844,186.28823491194626,185.08080520243362,185.3633990266599,79519400
2016-08-01,185.7744598388672,186.38245411181356,185.3206005421442,185.98854490587672,73311400
2016-08-02,184.5841064453125,185.68022069992873,183.74489682746534,185.52607269118224,92295500
2016-08-03,185.12353515625,185.1834852153919,184.2243888027907,184.5240998983743,53993600
2016-08-04,185.3206024169922,185.63744413802277,183.47090428330512,185.23496316263578,46585500
2016-08-05,186.83621215820312,186.8790317617433,185.3205001132059,185.3205001132059,71892200
2016-08-08,186.72496032714844,187.12744121713342,186.45949698837384,187.0246715203692,39906500
2016-08-09,186.83621215820312,187.33289081251087,186.51081191805616,186.79340562137136,51251700
